segment_id,start_time,end_time,duration,speaker_id,pitch_mean,energy_mean
0,0.0,9.11,9.11,SPK_02,283.3,0.042
1,9.11,18.23,9.11,SPK_02,291.1,0.055
2,18.23,27.34,9.11,SPK_02,375.4,0.066
3,27.84,37.08,9.24,SPK_02,233.6,0.054
4,37.08,46.32,9.24,SPK_01,295.4,0.07
5,46.94,53.35,6.41,SPK_01,0.0,0.055
