segment_id,start_time,end_time,duration,speaker_id,pitch_mean,energy_mean
0,0.0,8.44,8.44,SPK_01,126.1,0.081
1,8.44,16.88,8.44,SPK_01,349.9,0.082
2,16.88,25.32,8.44,SPK_01,296.8,0.076
3,25.32,33.76,8.44,SPK_01,313.8,0.085
4,33.76,42.2,8.44,SPK_03,0.0,0.069
5,42.71,49.09,6.38,SPK_01,293.1,0.074
6,49.09,55.48,6.38,SPK_01,281.7,0.089
7,58.12,66.91,8.79,SPK_01,271.3,0.099
8,71.28,73.77,2.49,SPK_02,270.4,0.075
9,75.99,82.62,6.63,SPK_01,281.9,0.096
